,daily change
2002-10-03,BIGNEG
2002-10-04,MEDNEG
2002-10-05,MEDNEG
2002-10-06,MEDNEG
2002-10-07,MEDPOS
2002-10-08,BIGNEG
2002-10-09,BIGPOS
2002-10-10,BIGPOS
2002-10-11,SMAPOS
2002-10-12,SMAPOS
2002-10-13,SMAPOS
2002-10-14,BIGPOS
2002-10-15,BIGNEG
2002-10-16,BIGPOS
2002-10-17,MEDPOS
2002-10-18,BIGPOS
2002-10-19,BIGPOS
2002-10-20,BIGPOS
2002-10-21,MEDNEG
2002-10-22,MEDPOS
2002-10-23,BIGNEG
2002-10-24,BIGPOS
2002-10-25,MEDNEG
2002-10-26,MEDNEG
2002-10-27,MEDNEG
2002-10-28,SMAPOS
2002-10-29,MEDPOS
2002-10-30,MEDNEG
2002-10-31,MEDPOS
2002-11-01,MEDPOS
2002-11-02,MEDPOS
2002-11-03,MEDPOS
2002-11-04,MEDPOS
2002-11-05,MEDPOS
2002-11-06,BIGNEG
2002-11-07,MEDNEG
2002-11-08,BIGNEG
2002-11-09,BIGNEG
2002-11-10,BIGNEG
2002-11-11,SMAPOS
2002-11-12,SMAPOS
2002-11-13,BIGPOS
2002-11-14,MEDPOS
2002-11-15,MEDNEG
2002-11-16,MEDNEG
2002-11-17,MEDNEG
2002-11-18,SMANEG
2002-11-19,BIGPOS
2002-11-20,BIGPOS
2002-11-21,MEDNEG
2002-11-22,MEDPOS
2002-11-23,MEDPOS
2002-11-24,MEDPOS
2002-11-25,BIGNEG
2002-11-26,BIGPOS
2002-11-27,MEDNEG
2002-11-28,MEDNEG
2002-11-29,MEDNEG
2002-11-30,MEDNEG
2002-12-01,MEDNEG
2002-12-02,MEDNEG
2002-12-03,SMANEG
2002-12-04,MEDNEG
2002-12-05,SMAPOS
2002-12-06,BIGNEG
2002-12-07,BIGNEG
2002-12-08,BIGNEG
2002-12-09,MEDPOS
2002-12-10,SMAPOS
2002-12-11,MEDNEG
2002-12-12,MEDNEG
2002-12-13,BIGPOS
2002-12-14,BIGPOS
2002-12-15,BIGPOS
2002-12-16,MEDNEG
2002-12-17,MEDNEG
2002-12-18,MEDNEG
2002-12-19,BIGPOS
2002-12-20,SMANEG
2002-12-21,SMANEG
2002-12-22,SMANEG
2002-12-23,MEDNEG
2002-12-24,SMANEG
2002-12-25,SMANEG
2002-12-26,BIGNEG
2002-12-27,MEDPOS
2002-12-28,MEDPOS
2002-12-29,MEDPOS
2002-12-30,SMAPOS
2002-12-31,BIGPOS
2003-01-01,BIGPOS
2003-01-02,SMANEG
2003-01-03,BIGPOS
2003-01-04,BIGPOS
2003-01-05,BIGPOS
2003-01-06,MEDNEG
2003-01-07,BIGNEG
2003-01-08,BIGPOS
2003-01-09,SMAPOS
2003-01-10,SMAPOS
2003-01-11,SMAPOS
2003-01-12,SMAPOS
2003-01-13,MEDPOS
2003-01-14,MEDNEG
2003-01-15,SMANEG
2003-01-16,MEDNEG
2003-01-17,BIGNEG
2003-01-18,BIGNEG
2003-01-19,BIGNEG
2003-01-20,BIGNEG
2003-01-21,MEDNEG
2003-01-22,MEDPOS
2003-01-23,BIGNEG
2003-01-24,BIGNEG
2003-01-25,BIGNEG
2003-01-26,BIGNEG
2003-01-27,MEDPOS
2003-01-28,SMAPOS
2003-01-29,BIGNEG
2003-01-30,MEDPOS
2003-01-31,MEDPOS
2003-02-01,MEDPOS
2003-02-02,MEDPOS
2003-02-03,MEDNEG
2003-02-04,MEDNEG
2003-02-05,MEDNEG
2003-02-06,MEDNEG
2003-02-07,MEDPOS
2003-02-08,MEDPOS
2003-02-09,MEDPOS
2003-02-10,MEDNEG
2003-02-11,MEDNEG
2003-02-12,SMANEG
2003-02-13,BIGPOS
2003-02-14,BIGPOS
2003-02-15,BIGPOS
2003-02-16,BIGPOS
2003-02-17,BIGPOS
2003-02-18,MEDNEG
2003-02-19,MEDNEG
2003-02-20,MEDPOS
2003-02-21,BIGNEG
2003-02-22,BIGNEG
2003-02-23,BIGNEG
2003-02-24,MEDPOS
2003-02-25,MEDNEG
2003-02-26,MEDPOS
2003-02-27,SMAPOS
2003-02-28,MEDNEG
2003-03-01,MEDNEG
2003-03-02,MEDNEG
2003-03-03,BIGNEG
2003-03-04,MEDPOS
2003-03-05,MEDNEG
2003-03-06,MEDPOS
2003-03-07,BIGNEG
2003-03-08,BIGNEG
2003-03-09,BIGNEG
2003-03-10,MEDNEG
2003-03-11,SMAPOS
2003-03-12,BIGPOS
2003-03-13,MEDPOS
2003-03-14,BIGPOS
2003-03-15,BIGPOS
2003-03-16,BIGPOS
2003-03-17,MEDPOS
2003-03-18,MEDPOS
2003-03-19,SMAPOS
2003-03-20,BIGPOS
2003-03-21,BIGNEG
2003-03-22,BIGNEG
2003-03-23,BIGNEG
2003-03-24,MEDPOS
2003-03-25,MEDNEG
2003-03-26,MEDNEG
2003-03-27,MEDNEG
2003-03-28,BIGNEG
2003-03-29,BIGNEG
2003-03-30,BIGNEG
2003-03-31,MEDPOS
2003-04-01,BIGPOS
2003-04-02,MEDNEG
2003-04-03,MEDPOS
2003-04-04,SMAPOS
2003-04-05,SMAPOS
2003-04-06,SMAPOS
2003-04-07,SMANEG
2003-04-08,MEDNEG
2003-04-09,SMAPOS
2003-04-10,SMANEG
2003-04-11,BIGPOS
2003-04-12,BIGPOS
2003-04-13,BIGPOS
2003-04-14,MEDPOS
2003-04-15,BIGNEG
2003-04-16,MEDPOS
2003-04-17,SMANEG
2003-04-18,SMANEG
2003-04-19,SMANEG
2003-04-20,SMANEG
2003-04-21,BIGPOS
2003-04-22,MEDPOS
2003-04-23,MEDNEG
2003-04-24,BIGNEG
2003-04-25,BIGPOS
2003-04-26,BIGPOS
2003-04-27,BIGPOS
2003-04-28,MEDPOS
2003-04-29,SMANEG
2003-04-30,SMANEG
2003-05-01,BIGPOS
2003-05-02,MEDNEG
2003-05-03,MEDNEG
2003-05-04,MEDNEG
2003-05-05,MEDPOS
2003-05-06,MEDNEG
2003-05-07,MEDNEG
2003-05-08,MEDPOS
2003-05-09,MEDPOS
2003-05-10,MEDPOS
2003-05-11,MEDPOS
2003-05-12,MEDNEG
2003-05-13,MEDNEG
2003-05-14,MEDPOS
2003-05-15,MEDNEG
2003-05-16,BIGNEG
2003-05-17,BIGNEG
2003-05-18,BIGNEG
2003-05-19,SMANEG
2003-05-20,SMAPOS
2003-05-21,MEDPOS
2003-05-22,SMAPOS
2003-05-23,BIGPOS
2003-05-24,BIGPOS
2003-05-25,BIGPOS
2003-05-26,BIGPOS
2003-05-27,SMAPOS
2003-05-28,MEDNEG
2003-05-29,BIGPOS
2003-05-30,MEDPOS
2003-05-31,MEDPOS
2003-06-01,MEDPOS
2003-06-02,SMAPOS
2003-06-03,MEDPOS
2003-06-04,SMAPOS
2003-06-05,SMAPOS
2003-06-06,MEDNEG
2003-06-07,MEDNEG
2003-06-08,MEDNEG
2003-06-09,MEDPOS
2003-06-10,BIGPOS
2003-06-11,SMAPOS
2003-06-12,MEDNEG
2003-06-13,BIGPOS
2003-06-14,BIGPOS
2003-06-15,BIGPOS
2003-06-16,SMAPOS
2003-06-17,MEDNEG
2003-06-18,MEDNEG
2003-06-19,SMAPOS
2003-06-20,MEDNEG
2003-06-21,MEDNEG
2003-06-22,MEDNEG
2003-06-23,MEDPOS
2003-06-24,MEDNEG
2003-06-25,MEDPOS
2003-06-26,MEDNEG
2003-06-27,SMANEG
2003-06-28,SMANEG
2003-06-29,SMANEG
2003-06-30,MEDPOS
2003-07-01,MEDPOS
2003-07-02,MEDNEG
2003-07-03,BIGPOS
2003-07-04,BIGPOS
2003-07-05,BIGPOS
2003-07-06,BIGPOS
2003-07-07,SMAPOS
2003-07-08,MEDNEG
2003-07-09,MEDNEG
2003-07-10,MEDPOS
2003-07-11,MEDPOS
2003-07-12,MEDPOS
2003-07-13,MEDPOS
2003-07-14,MEDNEG
2003-07-15,MEDNEG
2003-07-16,MEDNEG
2003-07-17,BIGPOS
2003-07-18,MEDNEG
2003-07-19,MEDNEG
2003-07-20,MEDNEG
2003-07-21,MEDPOS
2003-07-22,MEDPOS
2003-07-23,MEDNEG
2003-07-24,BIGPOS
2003-07-25,SMANEG
2003-07-26,SMANEG
2003-07-27,SMANEG
2003-07-28,MEDNEG
2003-07-29,SMANEG
2003-07-30,MEDPOS
2003-07-31,MEDNEG
2003-08-01,MEDPOS
2003-08-02,MEDPOS
2003-08-03,MEDPOS
2003-08-04,BIGNEG
2003-08-05,SMAPOS
2003-08-06,MEDPOS
2003-08-07,MEDPOS
2003-08-08,SMAPOS
2003-08-09,SMAPOS
2003-08-10,SMAPOS
2003-08-11,MEDPOS
2003-08-12,MEDNEG
2003-08-13,MEDPOS
2003-08-14,SMAPOS
2003-08-15,MEDPOS
2003-08-16,MEDPOS
2003-08-17,MEDPOS
2003-08-18,SMAPOS
2003-08-19,MEDNEG
2003-08-20,SMAPOS
2003-08-21,MEDNEG
2003-08-22,MEDNEG
2003-08-23,MEDNEG
2003-08-24,MEDNEG
2003-08-25,SMAPOS
2003-08-26,SMANEG
2003-08-27,MEDPOS
2003-08-28,MEDPOS
2003-08-29,MEDPOS
2003-08-30,MEDPOS
2003-08-31,MEDPOS
2003-09-01,MEDPOS
2003-09-02,MEDPOS
2003-09-03,SMAPOS
2003-09-04,MEDNEG
2003-09-05,MEDPOS
2003-09-06,MEDPOS
2003-09-07,MEDPOS
2003-09-08,MEDNEG
2003-09-09,MEDNEG
2003-09-10,MEDPOS
2003-09-11,SMAPOS
2003-09-12,SMANEG
2003-09-13,SMANEG
2003-09-14,SMANEG
2003-09-15,MEDPOS
2003-09-16,SMANEG
2003-09-17,MEDPOS
2003-09-18,SMANEG
2003-09-19,MEDNEG
2003-09-20,MEDNEG
2003-09-21,MEDNEG
2003-09-22,MEDPOS
2003-09-23,BIGNEG
2003-09-24,MEDNEG
2003-09-25,MEDNEG
2003-09-26,MEDPOS
2003-09-27,MEDPOS
2003-09-28,MEDPOS
2003-09-29,MEDNEG
2003-09-30,BIGPOS
2003-10-01,SMAPOS
2003-10-02,MEDPOS
2003-10-03,SMAPOS
2003-10-04,SMAPOS
2003-10-05,SMAPOS
2003-10-06,MEDPOS
2003-10-07,SMANEG
2003-10-08,MEDPOS
2003-10-09,SMANEG
2003-10-10,MEDPOS
2003-10-11,MEDPOS
2003-10-12,MEDPOS
2003-10-13,MEDPOS
2003-10-14,SMANEG
2003-10-15,SMANEG
2003-10-16,MEDNEG
2003-10-17,MEDPOS
2003-10-18,MEDPOS
2003-10-19,MEDPOS
2003-10-20,MEDNEG
2003-10-21,BIGNEG
2003-10-22,SMAPOS
2003-10-23,MEDNEG
2003-10-24,SMAPOS
2003-10-25,SMAPOS
2003-10-26,SMAPOS
2003-10-27,BIGPOS
2003-10-28,SMAPOS
2003-10-29,SMAPOS
2003-10-30,SMAPOS
2003-10-31,MEDPOS
2003-11-01,MEDPOS
2003-11-02,MEDPOS
2003-11-03,SMANEG
2003-11-04,SMANEG
2003-11-05,MEDPOS
2003-11-06,MEDNEG
2003-11-07,MEDNEG
2003-11-08,MEDNEG
2003-11-09,MEDNEG
2003-11-10,SMANEG
2003-11-11,MEDPOS
2003-11-12,SMANEG
2003-11-13,MEDNEG
2003-11-14,MEDNEG
2003-11-15,MEDNEG
2003-11-16,MEDNEG
2003-11-17,MEDNEG
2003-11-18,MEDPOS
2003-11-19,MEDNEG
2003-11-20,SMAPOS
2003-11-21,MEDPOS
2003-11-22,MEDPOS
2003-11-23,MEDPOS
2003-11-24,SMAPOS
2003-11-25,SMAPOS
2003-11-26,SMAPOS
2003-11-27,SMAPOS
2003-11-28,MEDPOS
2003-11-29,MEDPOS
2003-11-30,MEDPOS
2003-12-01,MEDNEG
2003-12-02,SMAPOS
2003-12-03,MEDPOS
2003-12-04,MEDNEG
2003-12-05,MEDPOS
2003-12-06,MEDPOS
2003-12-07,MEDPOS
2003-12-08,MEDNEG
2003-12-09,SMANEG
2003-12-10,MEDPOS
2003-12-11,MEDPOS
2003-12-12,SMANEG
2003-12-13,SMANEG
2003-12-14,SMANEG
2003-12-15,MEDPOS
2003-12-16,SMAPOS
2003-12-17,MEDPOS
2003-12-18,MEDPOS
2003-12-19,MEDPOS
2003-12-20,MEDPOS
2003-12-21,MEDPOS
2003-12-22,SMAPOS
2003-12-23,MEDNEG
2003-12-24,SMAPOS
2003-12-25,SMAPOS
2003-12-26,BIGPOS
2003-12-27,BIGPOS
2003-12-28,BIGPOS
2003-12-29,SMANEG
2003-12-30,MEDPOS
2003-12-31,MEDNEG
2004-01-01,MEDNEG
2004-01-02,BIGPOS
2004-01-03,BIGPOS
2004-01-04,BIGPOS
2004-01-05,SMANEG
2004-01-06,SMANEG
2004-01-07,MEDPOS
2004-01-08,BIGNEG
2004-01-09,SMAPOS
2004-01-10,SMAPOS
2004-01-11,SMAPOS
2004-01-12,MEDNEG
2004-01-13,MEDPOS
2004-01-14,SMAPOS
2004-01-15,MEDPOS
2004-01-16,MEDNEG
2004-01-17,MEDNEG
2004-01-18,MEDNEG
2004-01-19,MEDNEG
2004-01-20,MEDPOS
2004-01-21,SMANEG
2004-01-22,MEDNEG
2004-01-23,BIGPOS
2004-01-24,BIGPOS
2004-01-25,BIGPOS
2004-01-26,MEDNEG
2004-01-27,BIGNEG
2004-01-28,MEDPOS
2004-01-29,SMANEG
2004-01-30,SMAPOS
2004-01-31,SMAPOS
2004-02-01,SMAPOS
2004-02-02,SMAPOS
2004-02-03,MEDNEG
2004-02-04,SMAPOS
2004-02-05,MEDPOS
2004-02-06,SMANEG
2004-02-07,SMANEG
2004-02-08,SMANEG
2004-02-09,MEDPOS
2004-02-10,BIGPOS
2004-02-11,MEDNEG
2004-02-12,MEDNEG
2004-02-13,MEDPOS
2004-02-14,MEDPOS
2004-02-15,MEDPOS
2004-02-16,MEDPOS
2004-02-17,MEDNEG
2004-02-18,SMANEG
2004-02-19,MEDNEG
2004-02-20,SMANEG
2004-02-21,SMANEG
2004-02-22,SMANEG
2004-02-23,MEDNEG
2004-02-24,MEDPOS
2004-02-25,SMANEG
2004-02-26,SMAPOS
2004-02-27,MEDPOS
2004-02-28,MEDPOS
2004-02-29,MEDPOS
2004-03-01,MEDNEG
2004-03-02,SMAPOS
2004-03-03,SMANEG
2004-03-04,SMAPOS
2004-03-05,MEDNEG
2004-03-06,MEDNEG
2004-03-07,MEDNEG
2004-03-08,MEDNEG
2004-03-09,BIGNEG
2004-03-10,BIGNEG
2004-03-11,MEDPOS
2004-03-12,BIGNEG
2004-03-13,BIGNEG
2004-03-14,BIGNEG
2004-03-15,MEDPOS
2004-03-16,MEDPOS
2004-03-17,SMANEG
2004-03-18,MEDNEG
2004-03-19,MEDNEG
2004-03-20,MEDNEG
2004-03-21,MEDNEG
2004-03-22,SMANEG
2004-03-23,SMANEG
2004-03-24,BIGPOS
2004-03-25,SMANEG
2004-03-26,MEDPOS
2004-03-27,MEDPOS
2004-03-28,MEDPOS
2004-03-29,MEDPOS
2004-03-30,SMANEG
2004-03-31,SMAPOS
2004-04-01,MEDPOS
2004-04-02,MEDPOS
2004-04-03,MEDPOS
2004-04-04,MEDPOS
2004-04-05,SMAPOS
2004-04-06,MEDNEG
2004-04-07,MEDNEG
2004-04-08,MEDPOS
2004-04-09,MEDPOS
2004-04-10,MEDPOS
2004-04-11,MEDPOS
2004-04-12,BIGNEG
2004-04-13,SMANEG
2004-04-14,SMAPOS
2004-04-15,MEDPOS
2004-04-16,SMANEG
2004-04-17,SMANEG
2004-04-18,SMANEG
2004-04-19,MEDNEG
2004-04-20,SMAPOS
2004-04-21,BIGPOS
2004-04-22,SMAPOS
2004-04-23,MEDNEG
2004-04-24,MEDNEG
2004-04-25,MEDNEG
2004-04-26,MEDPOS
2004-04-27,BIGNEG
2004-04-28,MEDNEG
2004-04-29,MEDNEG
2004-04-30,MEDPOS
2004-05-01,MEDPOS
2004-05-02,MEDPOS
2004-05-03,SMAPOS
2004-05-04,SMANEG
2004-05-05,MEDNEG
2004-05-06,MEDNEG
2004-05-07,MEDNEG
2004-05-08,MEDNEG
2004-05-09,MEDNEG
2004-05-10,MEDPOS
2004-05-11,SMAPOS
2004-05-12,MEDNEG
2004-05-13,SMAPOS
2004-05-14,MEDNEG
2004-05-15,MEDNEG
2004-05-16,MEDNEG
2004-05-17,MEDPOS
2004-05-18,MEDNEG
2004-05-19,SMANEG
2004-05-20,MEDPOS
2004-05-21,SMANEG
2004-05-22,SMANEG
2004-05-23,SMANEG
2004-05-24,BIGPOS
2004-05-25,SMANEG
2004-05-26,MEDPOS
2004-05-27,SMANEG
2004-05-28,SMAPOS
2004-05-29,SMAPOS
2004-05-30,SMAPOS
2004-05-31,SMAPOS
2004-06-01,MEDPOS
2004-06-02,MEDNEG
2004-06-03,MEDPOS
2004-06-04,BIGPOS
2004-06-05,BIGPOS
2004-06-06,BIGPOS
2004-06-07,MEDPOS
2004-06-08,MEDNEG
2004-06-09,MEDPOS
2004-06-10,MEDNEG
2004-06-11,MEDNEG
2004-06-12,MEDNEG
2004-06-13,MEDNEG
2004-06-14,MEDPOS
2004-06-15,SMANEG
2004-06-16,SMANEG
2004-06-17,MEDPOS
2004-06-18,MEDNEG
2004-06-19,MEDNEG
2004-06-20,MEDNEG
2004-06-21,SMAPOS
2004-06-22,MEDPOS
2004-06-23,MEDNEG
2004-06-24,MEDNEG
2004-06-25,SMANEG
2004-06-26,SMANEG
2004-06-27,SMANEG
2004-06-28,MEDPOS
2004-06-29,SMAPOS
2004-06-30,MEDNEG
2004-07-01,MEDNEG
2004-07-02,MEDNEG
2004-07-03,MEDNEG
2004-07-04,MEDNEG
2004-07-05,MEDNEG
2004-07-06,SMAPOS
2004-07-07,MEDNEG
2004-07-08,MEDPOS
2004-07-09,SMAPOS
2004-07-10,SMAPOS
2004-07-11,SMAPOS
2004-07-12,SMAPOS
2004-07-13,MEDNEG
2004-07-14,MEDNEG
2004-07-15,SMANEG
2004-07-16,MEDNEG
2004-07-17,MEDNEG
2004-07-18,MEDNEG
2004-07-19,MEDPOS
2004-07-20,MEDNEG
2004-07-21,SMAPOS
2004-07-22,MEDNEG
2004-07-23,SMANEG
2004-07-24,SMANEG
2004-07-25,SMANEG
2004-07-26,BIGPOS
2004-07-27,MEDPOS
2004-07-28,SMAPOS
2004-07-29,SMAPOS
2004-07-30,MEDPOS
2004-07-31,MEDPOS
2004-08-01,MEDPOS
2004-08-02,MEDNEG
2004-08-03,SMAPOS
2004-08-04,BIGNEG
2004-08-05,BIGNEG
2004-08-06,SMANEG
2004-08-07,SMANEG
2004-08-08,SMANEG
2004-08-09,BIGPOS
2004-08-10,SMANEG
2004-08-11,MEDNEG
2004-08-12,SMAPOS
2004-08-13,BIGPOS
2004-08-14,BIGPOS
2004-08-15,BIGPOS
2004-08-16,SMAPOS
2004-08-17,MEDPOS
2004-08-18,MEDNEG
2004-08-19,MEDPOS
2004-08-20,MEDNEG
2004-08-21,MEDNEG
2004-08-22,MEDNEG
2004-08-23,SMAPOS
2004-08-24,MEDPOS
2004-08-25,SMANEG
2004-08-26,SMAPOS
2004-08-27,MEDNEG
2004-08-28,MEDNEG
2004-08-29,MEDNEG
2004-08-30,MEDPOS
2004-08-31,SMANEG
2004-09-01,MEDPOS
2004-09-02,MEDNEG
2004-09-03,MEDPOS
2004-09-04,MEDPOS
2004-09-05,MEDPOS
2004-09-06,MEDPOS
2004-09-07,MEDNEG
2004-09-08,SMANEG
2004-09-09,SMAPOS
2004-09-10,SMAPOS
2004-09-11,SMAPOS
2004-09-12,SMAPOS
2004-09-13,SMAPOS
2004-09-14,MEDNEG
2004-09-15,SMAPOS
2004-09-16,MEDPOS
2004-09-17,MEDNEG
2004-09-18,MEDNEG
2004-09-19,MEDNEG
2004-09-20,MEDPOS
2004-09-21,BIGNEG
2004-09-22,MEDNEG
2004-09-23,SMAPOS
2004-09-24,MEDNEG
2004-09-25,MEDNEG
2004-09-26,MEDNEG
2004-09-27,MEDPOS
2004-09-28,MEDPOS
2004-09-29,MEDNEG
2004-09-30,MEDPOS
2004-10-01,SMAPOS
2004-10-02,SMAPOS
2004-10-03,SMAPOS
2004-10-04,MEDNEG
2004-10-05,MEDPOS
2004-10-06,MEDNEG
2004-10-07,MEDNEG
2004-10-08,SMAPOS
2004-10-09,SMAPOS
2004-10-10,SMAPOS
2004-10-11,SMANEG
2004-10-12,MEDNEG
2004-10-13,MEDNEG
2004-10-14,MEDPOS
2004-10-15,SMAPOS
2004-10-16,SMAPOS
2004-10-17,SMAPOS
2004-10-18,MEDNEG
2004-10-19,SMANEG
2004-10-20,SMANEG
2004-10-21,MEDNEG
2004-10-22,SMANEG
2004-10-23,SMANEG
2004-10-24,SMANEG
2004-10-25,BIGPOS
2004-10-26,MEDPOS
2004-10-27,SMAPOS
2004-10-28,SMAPOS
2004-10-29,SMAPOS
2004-10-30,SMAPOS
2004-10-31,SMAPOS
2004-11-01,SMANEG
2004-11-02,MEDPOS
2004-11-03,BIGPOS
2004-11-04,MEDPOS
2004-11-05,SMAPOS
2004-11-06,SMAPOS
2004-11-07,SMAPOS
2004-11-08,SMANEG
2004-11-09,SMANEG
2004-11-10,MEDPOS
2004-11-11,MEDPOS
2004-11-12,SMAPOS
2004-11-13,SMAPOS
2004-11-14,SMAPOS
2004-11-15,MEDNEG
2004-11-16,MEDPOS
2004-11-17,SMAPOS
2004-11-18,MEDNEG
2004-11-19,MEDPOS
2004-11-20,MEDPOS
2004-11-21,MEDPOS
2004-11-22,SMAPOS
2004-11-23,SMAPOS
2004-11-24,SMAPOS
2004-11-25,SMAPOS
2004-11-26,MEDNEG
2004-11-27,MEDNEG
2004-11-28,MEDNEG
2004-11-29,MEDNEG
2004-11-30,BIGPOS
2004-12-01,SMANEG
2004-12-02,SMAPOS
2004-12-03,MEDNEG
2004-12-04,MEDNEG
2004-12-05,MEDNEG
2004-12-06,MEDNEG
2004-12-07,MEDPOS
2004-12-08,MEDPOS
2004-12-09,SMANEG
2004-12-10,MEDPOS
2004-12-11,MEDPOS
2004-12-12,MEDPOS
2004-12-13,MEDPOS
2004-12-14,SMAPOS
2004-12-15,SMAPOS
2004-12-16,MEDNEG
2004-12-17,SMAPOS
2004-12-18,SMAPOS
2004-12-19,SMAPOS
2004-12-20,MEDPOS
2004-12-21,MEDPOS
2004-12-22,SMAPOS
2004-12-23,MEDNEG
2004-12-24,MEDNEG
2004-12-25,MEDNEG
2004-12-26,MEDNEG
2004-12-27,MEDPOS
2004-12-28,SMANEG
2004-12-29,MEDNEG
2004-12-30,SMANEG
2004-12-31,MEDNEG
2005-01-01,MEDNEG
2005-01-02,MEDNEG
2005-01-03,MEDNEG
2005-01-04,MEDNEG
2005-01-05,SMAPOS
2005-01-06,SMANEG
2005-01-07,SMAPOS
2005-01-08,SMAPOS
2005-01-09,SMAPOS
2005-01-10,MEDNEG
2005-01-11,MEDPOS
2005-01-12,MEDNEG
2005-01-13,MEDPOS
2005-01-14,MEDPOS
2005-01-15,MEDPOS
2005-01-16,MEDPOS
2005-01-17,MEDPOS
2005-01-18,MEDNEG
2005-01-19,MEDNEG
2005-01-20,MEDNEG
2005-01-21,SMANEG
2005-01-22,SMANEG
2005-01-23,SMANEG
2005-01-24,MEDPOS
2005-01-25,MEDPOS
2005-01-26,MEDNEG
2005-01-27,MEDNEG
2005-01-28,MEDPOS
2005-01-29,MEDPOS
2005-01-30,MEDPOS
2005-01-31,MEDPOS
2005-02-01,MEDPOS
2005-02-02,SMANEG
2005-02-03,BIGPOS
2005-02-04,SMANEG
2005-02-05,SMANEG
2005-02-06,SMANEG
2005-02-07,SMAPOS
2005-02-08,MEDNEG
2005-02-09,MEDPOS
2005-02-10,MEDPOS
2005-02-11,SMANEG
2005-02-12,SMANEG
2005-02-13,SMANEG
2005-02-14,MEDPOS
2005-02-15,SMANEG
2005-02-16,MEDNEG
2005-02-17,MEDPOS
2005-02-18,BIGNEG
2005-02-19,BIGNEG
2005-02-20,BIGNEG
2005-02-21,BIGNEG
2005-02-22,MEDPOS
2005-02-23,MEDPOS
2005-02-24,MEDPOS
2005-02-25,MEDNEG
2005-02-26,MEDNEG
2005-02-27,MEDNEG
2005-02-28,MEDPOS
2005-03-01,SMANEG
2005-03-02,SMAPOS
2005-03-03,MEDPOS
2005-03-04,SMANEG
2005-03-05,SMANEG
2005-03-06,SMANEG
2005-03-07,SMANEG
2005-03-08,MEDNEG
2005-03-09,MEDPOS
2005-03-10,MEDNEG
2005-03-11,MEDPOS
2005-03-12,MEDPOS
2005-03-13,MEDPOS
2005-03-14,MEDNEG
2005-03-15,MEDNEG
2005-03-16,SMANEG
2005-03-17,SMAPOS
2005-03-18,MEDNEG
2005-03-19,MEDNEG
2005-03-20,MEDNEG
2005-03-21,MEDNEG
2005-03-22,SMANEG
2005-03-23,SMANEG
2005-03-24,MEDPOS
2005-03-25,MEDPOS
2005-03-26,MEDPOS
2005-03-27,MEDPOS
2005-03-28,MEDNEG
2005-03-29,BIGPOS
2005-03-30,MEDNEG
2005-03-31,MEDNEG
2005-04-01,SMAPOS
2005-04-02,SMAPOS
2005-04-03,SMAPOS
2005-04-04,MEDPOS
2005-04-05,SMAPOS
2005-04-06,MEDPOS
2005-04-07,MEDNEG
2005-04-08,SMANEG
2005-04-09,SMANEG
2005-04-10,SMANEG
2005-04-11,MEDPOS
2005-04-12,MEDNEG
2005-04-13,MEDNEG
2005-04-14,BIGNEG
2005-04-15,SMANEG
2005-04-16,SMANEG
2005-04-17,SMANEG
2005-04-18,MEDPOS
2005-04-19,MEDNEG
2005-04-20,BIGPOS
2005-04-21,MEDNEG
2005-04-22,MEDPOS
2005-04-23,MEDPOS
2005-04-24,MEDPOS
2005-04-25,MEDNEG
2005-04-26,MEDPOS
2005-04-27,BIGNEG
2005-04-28,MEDPOS
2005-04-29,MEDPOS
2005-04-30,MEDPOS
2005-05-01,MEDPOS
2005-05-02,SMAPOS
2005-05-03,BIGPOS
2005-05-04,MEDNEG
2005-05-05,SMAPOS
2005-05-06,MEDPOS
2005-05-07,MEDPOS
2005-05-08,MEDPOS
2005-05-09,MEDNEG
2005-05-10,SMAPOS
2005-05-11,MEDNEG
2005-05-12,MEDNEG
2005-05-13,MEDPOS
2005-05-14,MEDPOS
2005-05-15,MEDPOS
2005-05-16,MEDPOS
2005-05-17,BIGPOS
2005-05-18,SMAPOS
2005-05-19,SMANEG
2005-05-20,MEDPOS
2005-05-21,MEDPOS
2005-05-22,MEDPOS
2005-05-23,SMANEG
2005-05-24,MEDNEG
2005-05-25,MEDPOS
2005-05-26,SMAPOS
2005-05-27,MEDNEG
2005-05-28,MEDNEG
2005-05-29,MEDNEG
2005-05-30,MEDNEG
2005-05-31,MEDPOS
2005-06-01,SMAPOS
2005-06-02,MEDNEG
2005-06-03,SMAPOS
2005-06-04,SMAPOS
2005-06-05,SMAPOS
2005-06-06,SMAPOS
2005-06-07,SMANEG
2005-06-08,SMAPOS
2005-06-09,SMAPOS
2005-06-10,SMAPOS
2005-06-11,SMAPOS
2005-06-12,SMAPOS
2005-06-13,SMAPOS
2005-06-14,SMAPOS
2005-06-15,SMAPOS
2005-06-16,MEDPOS
2005-06-17,SMANEG
2005-06-18,SMANEG
2005-06-19,SMANEG
2005-06-20,SMANEG
2005-06-21,SMANEG
2005-06-22,BIGNEG
2005-06-23,MEDNEG
2005-06-24,SMANEG
2005-06-25,SMANEG
2005-06-26,SMANEG
2005-06-27,MEDPOS
2005-06-28,MEDNEG
2005-06-29,MEDNEG
2005-06-30,SMAPOS
2005-07-01,MEDPOS
2005-07-02,MEDPOS
2005-07-03,MEDPOS
2005-07-04,MEDPOS
2005-07-05,MEDNEG
2005-07-06,MEDPOS
2005-07-07,BIGPOS
